y_true_reg,y_classique
7.600946958551987,4.722177526228769
8.401202508535524,7.976901066627479
8.66185614186958,9.560786602427093
8.589639984575825,4.9792846661148005
3.9569963710708773,6.4308779985276265
7.891330757661889,7.02056543538276
5.480638923341991,1.651171174054078
8.383513673535996,9.200400598004645
6.21696531799587,4.562097038696426
7.852882221994669,4.399722521496039
0.0,1.9702705537328749
7.3933611822607945,7.367805272313515
8.98860720060843,6.951601407478247
6.504288173536645,4.371542885237506
8.150554487962744,5.24010950229442
-1.0106014113453965,5.699641167399196
0.6658273699049824,3.7674923570119883
5.776813705427159,6.410946582611045
4.55850825552186,4.500175010542966
-0.3011050927839216,2.1287980105541413
3.784189633918261,2.8605673551696538
8.537424824715396,6.999211198129331
7.413970290190444,6.97931991884905
4.890349143259348,4.04341655548696
-1.0216512475319814,1.879019085891434
-3.2266560096676367,1.4807612070942073
1.1631508098056809,1.619333952861255
4.181439269073034,4.86601046547098
1.7334238922150915,2.77828188825928
5.968707559985366,2.4821465376126435
8.185350223178686,3.643673970712803
7.387090235656757,3.506245443438353
6.365521332515601,3.6711444880215662
3.2320289421131134,2.3597515067034145
3.7828023083907083,6.760093564499788
5.047031509287547,3.6024897721744624
7.774088581698074,8.451407425140328
6.361302477572996,4.559130179666527
8.247220052745229,5.523903162362964
7.124478262493424,4.061569539385543
-0.37106368139083207,2.3116249828412823
