y_true_r,y_pred,mse_ratio
-10.79876872822028,-14.52436680573704,13.880081035196584
-13.739897302466476,-14.72601873550135,0.9724354806907544
-13.791384982534385,-14.524366183048837,0.537261440307607
-11.084382444808075,-14.524366656186311,11.83349137453155
-14.123980462678496,-14.524365728282831,0.16030836091305387
-10.508384929110377,-14.524366109182836,16.128104838696174
-12.64791715870487,-14.524366812571762,3.5210633034971797
-13.662737003568818,-14.524365991379272,0.7424045126352666
-12.820694854048536,-14.524366890776122,2.9024984087275194
-10.623630151774918,-14.524366857217755,15.215746845189036
-17.070917426281603,-14.524366603369602,6.484921093673792
-14.514654450438659,-14.726019100668017,0.044675015366578856
-13.159865877364137,-14.52436689470239,1.8618630263171256
-11.86014522648398,-14.524366781156782,7.098076492383169
-13.947323055559943,-14.726019274560205,0.6063678014853032
-23.061757300477492,-14.726019309106611,69.48452786078384
-17.23380652609453,-14.524366807657499,7.341063587844135
-12.54525785767282,-14.524366367551364,3.9168704938736743
-14.64669389518712,-14.524366840055972,0.014963908417058908
-19.50193310396866,-14.524366587770421,24.776168423177875
-15.889832795465638,-14.524366853541437,1.864497238554946
-13.300500978258418,-14.726019069452997,2.0321018283230368
-10.985745396581821,-14.524366174539335,12.521837010192638
-14.289373604460895,-14.52436578868502,0.05522132664642549
-18.92128514353149,-14.524366726938993,19.332891562170285
-22.427484020852376,-14.524366872937607,62.459260653664465
-16.73648308619383,-14.524366725517565,4.8934587931715985
-15.019388742111705,-14.524366818014489,0.2450467053369099
-17.471778258493888,-14.524366834587491,8.687234101773933
-12.112269273764008,-14.524366306818997,5.818212096872681
-10.980901225729287,-14.524366889512832,12.556148910412958
-10.611568323032007,-14.524366699419764,15.309991134262667
-13.308501096868298,-14.524366860816514,1.4783295559413783
-15.968799069071625,-14.52436678077596,2.0863846354710525
-18.314015990777047,-14.72601923513066,12.873720718528997
-16.271350267533897,-14.524366680492385,3.05195165339243
-13.127800065032254,-14.726019017289035,2.5543038193527634
-10.95445304918379,-14.524364635304481,12.744268732718748
-13.836957432666473,-14.726019047080628,0.7904305542247037
-12.001377737860757,-14.52436690158904,6.3654743202903425
-18.452040515140204,-14.52436679867272,15.426620823029504
